id,name
385,blackened technical death metal
386,post-punk elements
387,extreme melodic progressive metal
388,symphonic melodic black
389,black metal with crust influences
390,power metal with death metal influences
391,melodic industrial death metal
392,thrash metal with black metal elements
393,neoclassical speed metal
394,death metal with doom
395,atmospheric melodic black metal
396,symphonic death metal with electronic influences
397,epic melodic death metal
398,progressive metal with various influences
399,melodic death metal with chiptune elements
400,symphonic epic black metal
401,black metal with death metal influences
402,melodic sludge metal
403,brutal death metal
404,melodic heavy metal
405,experimental progressive metal
406,thrash metal with gothic influences
407,doom metal with alternative influences
408,ambient black metal
409,melodic thrash metal with death
410,atmospheric neofolk
411,gothic metal with medieval influences
412,symphonic  metal
413,melodic pop
414,progressive metal with doom influences
415,black metal with hardcore influences
416,melodic death metal influences
417,glitch
418,progressive stoner rock
419,symphonic depressive black metal
420,experimental funk
421,black metal with gothic
422,industrial grindcore
423,melodic heavy metal with gothic influences
424,stoner metal with black metal influences
425,progressive technical death metal
426,power metal with folk influences
427,extreme industrial noise
428,groove metal influences
429,symphonic power metal
430,progressive melodic doom
431,death metal with thrash
432,melodic post-black metal
433,death metal with progressive elements
434,heavy metal with stoner rock influences
435,atmospheric blackened doom metal
436,atomspheric funeral doom metal
437,power metal with various rock elements
438,rapcore
439,heavy metal with folk elements
440,extreme heavy metal
441,heavy metal with doom elements
442,symphonic progressive power metal
443,groove metal with alternative rock elements
444,technical black metal
445,orchestral pop
446,black metal with surf rock influences
447,powerviolence
448,doom metal with industrial and noise influences
449,atmospheric black n roll
450,atmospheric groove
451,progressive electronic rock
452,black metal with gothic influences
453,hardcore with nu-metal elements
454,speed  metal
455,blackened power metal
456,black metal with drone influences
457,blackened hardcore
458,black metal with hardcore elements
459,avant-garde death metal with jazz influences
460,power metal with folk elements
461,epic doom metal
462,grindcore with rock
463,black metal with folk
464,brutal death metal with goregrind elements
465,avant-garde jazz
466,heavy metal with prehispanic folk influences
467,epic gothic
468,doom metal with punk and black metal elements
469,ska punk
470,soft rock
471,power metal with progressive elements
472,progressive death  metal
473,orchestral folk metal
474,heavy metal with progressive and power influences
475,coldwave
476,heavy progressive
477,martial dark ambient
478,death metal with electronic elements
479,death viking metal
480,death metal with progressive influences
481,hardcore with thrash metal elements
482,psychedelic drone
483,death metal with progressive
484,melodic death metal with nu-metal influences
485,blackened electronic
486,space
487,drone doom metal
488,black metal with thrash influences
489,thrash metal with death metal elements
490,hard rock with funk elements
491,classical crossover
492,avant-garde extreme metal
493,deathcore with grindcore influences
494,experimental acoustic
495,melodic groove metal with industrial elements
496,atmospheric grindcore
497,symphonic industrial death
498,power metal with symphonic
499,atmospheric extreme metal
500,blackened rac
501,raw blackened thrash metal
502,avant-garde industrial death metal
503,melodic shred
504,heavy metal with thrash metal elements
505,melodic neoclassical power metal
506,psychedelic pop
507,avant-garde blackened death metal
508,progressive folk metal with classical influences
509,hard rock with punk influences
510,industrial metal with black metal elements
511,blackened crust punk
512,death metal with heavy metal influences
513,breakcore
514,black metal with rac influences
515,raw death
516,hard rock with various influences
517,medieval folk metal
518,stoner metal with punk elements
519,epic folk black
520,heavy metal
521,epic atmospheric black metal
522,rap rock
523,heavy metal with hard rock
524,speed metal with hardcore influences
525,industrial post-metal
526,industrial thrash metal
527,death metal with punk elements
528,melodic heavy metal with schlager influences
529,medieval metal
530,metalcore with electronic elements
531,electronic progressive metalcore
532,avant-garde progressive black
533,symphonic neoclassical metal
534,death and punk elements
535,experimental doom metal
536,experimental industrial black metal
