labelId,labelName,status,websiteUrl,producer,hasSpecialization,hasCountry
53859,fa studio records,active,nan,[3540347034],[],41
53863,enclave mágico indómito,active,https://enclavemagicoindomito.bandcamp.com,"[3540535147, 3540474783, 3540494525, 3540460789, 3540475217, 3540473445, 3540505578]",['black metal'],2
53872,no authority,active,https://www.noauthority-label.com/,[3540352422],[],47
53874,iron oxide records,closed,http://www.ironoxiderecords.com/,"[3540496532, 3540452259, 3540436855]","['heavy metal', 'speed metal']",13
53880,woah dad!,active,nan,[3540474957],[],15
53885,abrams records,active,nan,[3540474971],[],1
53894,a tope producciones,active,http://atopeproducciones.com/,"[3540473388, 3540303113, 3540475017]","['heavy metal with hard rock', 'heavy metal', 'power metal']",4
53902,zpinach records,active,nan,[3540475089],[],
53907,ars belli,active,nan,[3540501685],[],18
53908,howling rush records,unknown,nan,[3540474566],[],
53909,xlax records,active,https://xlaxrecords.bandcamp.com/,[3540506171],"['death metal', 'death metal with grindcore']",1
53912,grazil records,active,https://www.grazil.at/,"[3540488384, 3540441287, 3540440534, 3540475109, 3540505944, 3540365538, 3540453188, 3540477595, 3540541728]",[],30
53914,we bite! discos,active,nan,[10466],['thrash metal'],21
53915,"loud, slow and distorted riffs",active,https://lsdr.bandcamp.com/merch,"[3540490733, 3540471173, 3540475160, 3540456096, 3540475158, 3540379822, 3540435820, 3540461924]","['psychedelic rock', 'heavy metal with stoner rock influences', 'stoner metal']",20
53916,wretched sin records,active,https://wretchedsin.com/,"[3540475395, 3540517031, 3540475161, 3540473421]","['doom metal', 'stoner metal', 'sludge metal', 'black metal', 'power metal with dark ambient influences', 'experimental metal']",1
53920,activar hazlotumismx,active,https://w.facebook.com/pages/category/society---culture-website/activa,[3540475225],"['black metal with punk', 'death metal with hardcore', 'death metal with grindcore']",22
53921,ancient horror records,active,https://linktr.ee/ancienthorror,"[3540457560, 3540510891, 3540489197, 3540546083, 3540519551]",[],53
53929,steel & bone productions,active,nan,[3540456530],[],1
53931,matyria records,active,nan,"[3540475260, 3540477044]",[],1
53933,insanity records,closed,nan,[3540305339],[],1
53946,sodogommorrah records,active,nan,"[3540389380, 3540429449]",[],5
53948,malphas productions philippines cebu,active,nan,"[3540530679, 3540475332, 3540507839]","['thrash metal', 'death metal', 'black metal']",33
53959,vestigio records,active,nan,"[3540503284, 3540387589, 3540407177, 3540501875]",[],2
53962,black theta,active,https://moeror.bandcamp.com/,[3540451435],['experimental black metal'],19
53964,hellburn tapes,active,https://www.facebook.com/hellburntapes,[3540475359],[],2
53965,aeon of fire,active,https://www.aeonoffire.com/,[126721],[],7
53967,el pasillo records,active,nan,[3540472436],['doom metal with various influences'],21
53972,nibiru records,active,nan,[3540475481],[],4
53987,dazed music,active,nan,[3540266539],[],
53995,cursed ritual,active,https://cursedritual.fr/,"[3540491914, 3540495357]",[],29
54005,nordenvind,active,nan,[3540423023],[],34
54018,hostile records,active,https://www.facebook.com/hostilerecords-100405594973476,"[3540470832, 3540477947, 3540473345, 3540459884, 3540477603]","['death metal', 'death metal with grindcore', 'death metal with noise elements']",38
54023,criaturismo records,active,nan,[3540475215],[],20
54024,ritually impure productions,active,nan,[3540475666],[],3
54028,audrex co.,active,nan,[3540475680],[],1
54029,small batch records,active,https://smallbatchrecords.bandcamp.com/merch,[3540475683],"['indie rock', 'alternative metal', 'avant-garde metal']",1
54030,destiny,active,nan,[3540543127],[],20
54047,charitable artworld!,active,https://artworld.bandcamp.com/music,"[3540485509, 3540430905]","['black metal', 'death metal', 'electronic metal']",6
54054,necrovoid records,active,https://www.facebook.com/necrovoid-records-101987934986632,[3540471348],[],52
54057,personal records,active,http://www.personal-records.com/,"[3540533977, 36088, 3540441789, 3540499762, 3540511441, 3540381712, 3540408277, 3540527310, 3540494652, 3540471467, 3540515287, 3540448612, 3540516589, 3540433554, 3540460310, 3540431165, 3540464114, 93929, 3540478588, 3540466592, 122813, 3540543650, 3540497513, 3540407665, 34184, 3540466238, 3540478548, 3540464607, 3540384230, 3540520244, 73999, 3540518389, 3540310371, 3540454610, 3540472587, 3540481263]","['doom metal', 'death metal', 'black metal', 'heavy metal']",20
54059,hellbound records,unknown,nan,[3540321607],[],21
54062,planet k records,active,https://www.planetkrecords.com/,"[3540392019, 3540388888]",[],12
54071,marsprogram,active,https://marsprogram.bandcamp.com/music,"[3540475987, 3540475924]","['heavy metal', 'power metal', 'black metal', 'death metal', 'punk rock with heavy metal influences', 'avant-garde metal', 'electronic metal']",6
54074,gore bubble productions,active,https://gorebubbleproductions.bandcamp.com/,"[3540498594, 3540543203, 3540546385, 3540495435, 3540517508, 3540501093]","['death metal', 'goregrind with doom metal elements', 'death metal with noise elements']",1
54076,bloodforge,active,https://bloodforge.bigcartel.com/,[3540475942],"['black metal', 'death metal']",7
54077,old shadows records,active,http://www.oldsrecs.com.br,"[3540421124, 6774, 3540486450, 3540544493]","['death metal', 'black metal', 'doom metal', 'thrash metal']",23
54082,consumed by the flames productions,active,nan,[3540497168],['black metal'],20
54084,amo records,active,nan,[3540475604],[],14
54090,merg&been,active,http://mergenbeen.bandcamp.com,"[59436, 3540477629]","['black metal', 'raw black metal']",41
54099,planetary king records,active,nan,"[3540523408, 3540521337, 3540519812, 3540523739, 3540478690, 3540521622, 3540520632, 3540517707, 3540521733]","['black metal', 'death metal']",1
54101,rabauw,active,https://rabauw.com/,[3540486247],"['black metal', 'dungeon synth', 'power metal with dark ambient influences']",24
54102,roots records,active,nan,[3540476134],[],1
54103,extraconscious records,active,https://www.facebook.com/extraconsciousrecords/,"[3540483880, 3540343747]",[],1
54105,cranehill records,active,nan,[3540476161],[],
54106,feral heart productions,active,https://feralheartprod.com/,"[3540476164, 3540476162]",['black metal'],1
54108,potong jari rekords,active,nan,"[3540476177, 3540479176]","['death metal with noise elements', 'ambient doom metal', 'black metal', 'psychedelic rock']",53
54110,yock records,active,nan,"[3540496292, 3540495534, 3540476192]",[],53
54111,dgr records,active,nan,"[3540493477, 118175]",['thrash metal'],5
54121,roxor records,active,nan,[3540474698],[],68
54124,red warlock records,active,nan,"[3540493619, 3540476295]",[],12
54126,wise blood records,active,https://www.wisebloodrecords.com/,"[3540522103, 3540508640, 3540386435, 3540261533, 3540464526, 3540431589, 3540483098, 3540395204, 3540508764, 3540534873]","['heavy metal', 'thrash metal', 'black metal', 'death metal', 'black metal with punk']",1
54127,vexator syndicate,closed,nan,"[3540499647, 3540500974]",[],4
54128,exangüe records,active,nan,[3540491571],[],20
54133,toph records,unknown,nan,[3540540054],[],
54136,blood agony records,active,https://www.instagram.com/bloodagonyrecords/,[3540470325],"['extreme metal', 'ambient doom metal']",35
54138,hopkins and stearne productions,active,nan,[3540422567],[],1
54140,vetus capra,active,http://vetuscapra.limitedrun.com/,"[3540490103, 3540480760]",['black metal'],29
54142,morbid and miserable records,active,https://morbidandmiserable.storenvy.com/collections/1921009-morbid-and,"[3540523837, 3540454939, 3540476466, 3540498534]","['heavy metal with hardcore punk', 'death metal with grindcore', 'extreme metal']",1
54148,zhaba records.,active,https://zhabarecords.wixsite.com/zhabarecords,[3540487177],"['black metal', 'pagan metal']",36
54150,colmorlig creations,active,nan,[3540491869],[],37
54151,unholy rub records,changed name,nan,"[3540476558, 3540465023, 3540486413, 3540486430, 3540493740, 3540486415]",[],1
54155,stonefellowship records,active,nan,[1118],[],
54172,smell blood records,active,nan,"[3540500347, 3540476701]",['raw black metal'],1
54183,spiritual disease,active,https://spiritualdisease.bigcartel.com/,"[3540476741, 3540478222, 3540528790, 3540478219, 3540476742, 3540528743]","['raw black metal', 'dungeon synth']",1
