id,name
523,melodic death metal with chiptune elements
524,ambient progressive stoner
525,industrial blackened sludge metal
526,epic stoner
527,speed metal with progressive influences
528,gothic black metal
529,thrash metal
530,progressive metal with thrash metal influences
531,extreme melodic progressive metal
532,atmospheric extreme metal
533,metalcore with symphonic elements
534,gothic metal with darkwave influences
535,melodic blackened deathcore
536,industrial symphonic death
537,raw viking
538,atmospheric black metal with industrial elements
539,rock with doom metal
540,hardcore with folk influences
541,epic doom metal
542,progressive doom metal
543,epic technical death
544,thrash metal influences
545,heavy metal with folk influences
546,death metal with heavy metal influences
547,country
548,heavy metal with various influences
549,heavy metal with rock influences
550,progressive melodic groove metal
551,avant-garde black metal
552,electronic gothic metal
553,metal with classical influences
554,progressive industrial metal
555,rock with grunge influences
556,melodic death metal with thrash influences
557,pagan death metal
558,atmospheric melodic black metal
559,sludge metal influences
560,doom metal with ambient influences
561,power metal with various rock influences
562,melodic epic death metal
563,metal
564,atmospheric neoclassical metal
565,progressive groove metal
566,heavy metal with progressive elements
567,symphonic progressive death metal
568,thrash metal with grindcore influences
569,stoner metal with groove influences
570,melodic death metal with black metal influences
571,epic power metal
572,melodic blackened doom metal
573,pagan black metal with folk
574,death metal with progressive elements
575,thrash with hardcore and heavy metal influences
576,celtic death metal
577,metalcore with thrash elements
578,atmospheric sludge metal
579,experimental acoustic
580,atmospheric gothic metal with classical influences
581,hardcore with death metal influences
582,neoclassical melodic death metal
583,power metal with eastern folk elements
584,industrial gothic metal with black metal influences
585,gothic metal with doom influences
586,raw folk
587,atmospheric alternative rock
588,depressive post-black metal
589,death metal with hardcore influences
590,heavy metal with thrash influences
591,progressive death n roll
592,experimental progressive metal
593,death metal with rac influences
594,progressive metal with thrash metal elements
595,funk metal
596,hard rock with oi!
597,black metal with crust influences
598,experimental electronic
599,epic progressive metal
600,djent
601,symphonic metal with eastern asian folk elements
602,melodic groove metal with industrial elements
603,death metal with noise elements
604,avant-garde metal
605,heavy metal with hardcore
606,progressive thrash metal
607,melodic experimental metal
608,experimental black metal with various rock influences
609,deathcore with sludge metal influences
610,blackened deathcore
611,melodic black metal
612,death metal with black metal
613,heavy metal with folk
614,soft
615,groove metal with thrash metal influences
616,doom metal with grunge elements
617,metal with electronic influences
618,blackened progressive rock
619,progressive melodic doom
620,stoner metal with doom metal influences
621,synthpop
622,symphonic ambient
623,folk metal with hard rock elements
624,rock with industrial
625,pagan heavy metal
626,heavy metal with gothic influences
627,progressive rock with jazz influences
628,heavy metal with melodic thrash influences
629,atmospheric post-black metal
630,metalcore with industrial influences
631,post-punk elements
632,neoclassical melodic power metal
633,raw post-black metal
634,heavy metal with sludge
635,experimental melodic death metal
636,heavy metal with prehispanic folk influences
637,power metal with folk influences
638,industrial heavy metal
639,experimental blackened death metal
640,death metal with industrial
641,black metal with surf rock influences
642,death n roll influences
643,progressive metal with death metal elements
644,industrial brutal death metal
645,industrial black metal with death
646,experimental industrial metal
647,hip-hop
648,rapcore
649,electronic groove metal
650,grindcore with jazz influences
651,power metal with groove influences
652,power metal with stoner influences
653,atmospheric post-black metal with doom metal influences
654,symphonic progressive black metal
655,death metal with electronic influences
656,industrial metal with death metal
657,medieval folk metal
658,blackened pagan metal
659,viking metal with death metal influences
660,trip hop
661,doom metal with thrash
662,blackened symphonic pagan metal
663,progressive extreme metal
664,doom metal with middle eastern folk influences
665,power metal with electronic elements
666,thrash metal with heavy metal influences
667,blues rock
668,atmospheric progressive sludge
669,death metal with doom influences
670,blackend death
671,technical heavy metal
672,black metal with symphonic elements
673,thrash metal with gothic metal influences
674,progressive post-black metal
675,crossover with grindcore elements
676,pagan doom metal with folk influences
677,progressive metal with jazz influences
678,death metal with thrash influences
679,noisecore
680,rock with flamenco elements
681,thrash metal with death and hardcore influences
682,gothic folk metal
683,symphonic metal
684,death metal with gothic
685,thrash metal with oi! influences
686,psychedelic death metal
687,blackened epic doom metal
688,atmospheric heavy metal
689,atmospheric melodic viking
690,industrial hip-hop
691,heavy metal with groove influences
692,thrash metal with punk
693,thrash metal with black metal influences
694,gothic metal
695,pagan folk metal
696,avant-garde brutal death metal
697,melodic viking metal
698,black metal with doom
699,avant-garde death metal
700,progressive hardcore
701,raw thrash metal
702,southern groove
703,progressive electronic rock
704,thrash metal with folk influences
705,power metal with electronic influences
706,experimental black metal
707,reggaeton
708,symphonic power metal
709,epic pagan black metal
710,dance
711,southern metal influences
712,blackened progressive sludge
713,symphonic metal with black metal influences
714,doom metal with various influences
715,black metal with drone influences
716,heavy metal with folk and thrash influences
717,extreme industrial metal
718,power metal with various rock elements
719,alternative metal
720,atmospheric stoner
721,epic symphonic power metal
722,mathcore
723,metalcore with electronic influences
724,groove metal with grunge elements
725,atmospheric death metal
726,progressive metal with middle eastern influences
727,blackened crust punk
728,progressive melodic black metal
729,funk rock
730,gothic metal with folk
731,industrial experimental metal
732,gothic industrial
733,thrash metal with rock n roll elements
734,symphonic technical death metal
735,death metal with industrial elements
736,witch house
737,experimental post-metal
738,melodic black metal with power metal influences
739,experimental funeral doom metal
740,cloud rap
741,slam
742,death metal with crust influences
743,symphonic black metal with doom elements
744,melodic heavy metal with hard rock influences
745,industrial rock
746,symphonic industrial death
747,blackened thrash n roll
748,folk metalcore
749,world music
750,ambient pagan
751,doom metal with electronica influences
752,atmospheric groove
753,gothic doom metal
754,operatic gothic metal
755,garage rock
756,melodic speed metal
757,brutal death metal with groove influences
758,industrial symphonic black metal
759,pagan celtic
760,symphonic epic power metal
761,heavy metal with doom metal elements
762,death metal with industrial and noise influences
763,viking rock
764,groove metal with hardcore influences
765,death metal with groove metal influences
766,techno
767,groove metal with sludge
768,thrash metal with grindcore elements
769,atmospheric black metal with darkwave elements
